,temp,feels_like,pressure,humidity,temp_min,temp_max,"('Volume', 'sum')","('Close/Last', 'mean')","('Open', 'mean')","('High', 'max')","('Low', 'min')"
Week_0,290.19642857142856,289.94595238095235,1017.1011904761905,76.17857142857143,288.07851190476185,292.43321428571426,4183.0,145.5,144.825,148.65,141.14
Week_1,290.143630952381,289.91636904761907,1016.9940476190476,77.26785714285714,288.00125,292.4902976190476,21418.0,146.26,147.56,149.85,144.5
Week_2,291.17839285714285,291.0959523809523,1017.7738095238095,78.86904761904762,288.80428571428575,293.9326785714286,6747.0,148.8,148.45999999999998,151.12,145.8
Week_3,291.7320833333334,291.53000000000003,1018.1071428571429,72.16071428571429,288.7697619047619,295.0235119047619,3629.0,147.7,147.67499999999998,149.32,146.15
Week_4,292.4549404761905,292.3617261904762,1014.8690476190476,73.22619047619048,288.62875,297.3932142857143,5537.0,142.56,143.42000000000002,144.74,140.4
Week_5,293.0058928571429,293.0014285714286,1013.8214285714286,74.04761904761905,288.7507142857143,298.65916666666664,5546.0,131.85,131.35000000000002,134.0,127.75
Week_6,296.41154761904767,296.38434523809525,1014.2916666666666,61.464285714285715,290.7808928571429,302.5647619047619,5322.0,133.78,132.64000000000001,138.62,129.0
Week_7,297.2641071428572,297.71964285714284,1014.1190476190476,67.77380952380952,291.68309523809523,304.77172619047616,4155.0,136.44,136.62,139.84,134.45
Week_8,298.0766666666667,298.9040476190477,1014.4940476190476,68.9702380952381,292.73595238095237,304.73136904761907,6178.0,139.62,139.72,141.64,136.6
Week_9,297.0782142857143,297.61107142857145,1014.9345238095239,69.05357142857143,292.73375000000004,302.195,11613.0,141.18,139.24,144.82,137.94
Week_10,295.9347023809524,296.2519642857143,1016.9940476190476,73.16071428571429,292.11011904761904,300.254880952381,5880.0,140.72,141.28,143.42,137.95
Week_11,296.8182142857143,297.42011904761904,1013.422619047619,71.63095238095238,291.70488095238096,303.0360714285714,11972.0,138.38,138.42000000000002,143.2,135.01
Week_12,295.62136904761905,296.0136904761905,1013.5238095238095,74.96428571428571,291.96321428571423,299.8605357142857,13482.0,136.84,135.35999999999999,139.35,131.55
Week_13,298.4876785714286,298.90148809523805,1012.547619047619,64.51785714285714,293.26392857142855,304.1138095238095,4218.0,136.48,136.1,139.88,132.5
Week_14,295.9379761904762,296.18369047619046,1015.7261904761905,70.24404761904762,292.5269047619048,299.64666666666665,6164.0,134.55,134.7,136.2,133.0
Week_15,295.50416666666666,295.79440476190473,1015.1011904761905,73.06547619047619,292.21416666666664,299.1639880952381,50264.0,133.85999999999999,134.72,138.28,130.08
Week_16,292.961130952381,293.00714285714287,1016.3571428571429,76.95833333333333,290.68416666666667,295.39619047619044,6816.0,134.07999999999998,135.84,137.93,130.68
Week_17,293.1569642857143,293.21232142857144,1014.7738095238095,76.36904761904762,290.2627976190476,296.45148809523806,13676.0,135.26,134.64000000000001,137.84,131.95
Week_18,295.32988095238096,295.1206547619048,1013.9642857142857,59.595238095238095,290.75517857142853,299.8457738095238,6425.0,133.72,133.83999999999997,136.44,129.45
Week_19,293.89428571428573,293.9417261904762,1011.3511904761905,72.52380952380952,290.1926785714286,297.9972023809524,3961.0,134.7,134.94,135.5,133.97
Week_20,296.20994047619047,296.3128571428571,1014.5892857142857,64.5297619047619,290.62077380952377,302.48309523809525,16903.0,131.52,131.02,140.0,126.38
Week_21,291.510119047619,291.3824404761905,1014.4642857142857,75.85714285714286,289.44357142857143,293.67410714285717,7229.0,124.82000000000001,125.74000000000001,128.58,121.45
Week_22,293.76339285714283,292.7422023809524,1018.4345238095239,34.61309523809524,289.8043452380952,298.0,14788.0,125.7,124.2,129.22,120.6
Week_23,292.0233928571429,291.2107142857143,1017.922619047619,47.273809523809526,288.3350595238095,295.4765476190476,9717.0,125.66,126.0,129.92,122.76
Week_24,291.14619047619044,290.5404761904762,1017.2916666666666,59.148809523809526,288.2629761904762,293.9272619047619,47848.0,125.8,125.14000000000001,128.15,121.35
Week_25,290.77434523809524,289.92541666666665,1018.8214285714286,50.42857142857143,288.3594642857143,293.5277976190476,5253.0,126.69999999999999,127.225,128.68,124.05
Week_26,288.20666666666665,287.13369047619045,1019.1190476190476,52.30952380952381,285.8742857142857,290.58392857142854,20176.0,126.82000000000001,127.81999999999998,131.74,124.0
Week_27,289.7790476190476,288.93839285714284,1021.0892857142857,55.20238095238095,286.62571428571425,293.02488095238095,12445.0,126.05999999999999,126.82000000000001,131.59,124.91
Week_28,289.7764285714286,288.64714285714285,1019.1845238095239,44.13690476190476,286.4631547619048,293.15261904761905,13793.0,128.95999999999998,129.14000000000001,134.84,125.2
Week_29,289.5844642857143,289.1746428571429,1016.4880952380952,72.42857142857143,287.4522023809524,291.7339880952381,15978.0,130.68,132.4,134.85,127.3
Week_30,287.57184523809525,287.1205357142857,1022.2857142857143,78.54166666666667,285.34529761904764,289.95934523809524,8726.0,134.55,133.525,137.34,129.45
Week_31,286.2313095238095,285.3585119047619,1021.9583333333334,66.16071428571429,283.9210119047619,288.48077380952384,12862.0,136.0,137.825,139.84,132.81
Week_32,284.69017857142853,283.2361904761905,1020.7321428571429,49.970238095238095,282.2298214285714,286.95934523809524,11715.0,138.62,138.5,140.0,135.25
Week_33,286.7361904761905,286.2451190476191,1019.0833333333334,79.82142857142857,284.4483333333333,289.12089285714285,9444.0,132.75,134.475,136.58,131.62
Week_34,288.12714285714287,287.70940476190475,1019.5059523809524,77.71428571428571,286.0813095238095,290.23321428571427,9195.0,133.38000000000002,133.82,137.34,130.3
Week_35,288.5799404761905,287.79178571428577,1017.7738095238095,65.01785714285714,285.82261904761907,291.38107142857143,5098.0,132.02,134.24,136.59,131.25
Week_36,284.66226190476186,283.72190476190474,1016.2440476190476,79.73214285714286,282.85488095238094,286.3863095238095,9115.0,128.72,128.34,133.84,121.75
Week_37,286.6225595238095,285.9065476190476,1022.0238095238095,69.73809523809524,284.27232142857144,288.95827380952375,93622.0,123.47999999999999,124.14000000000001,127.38,118.16
Week_38,288.1282142857143,287.7266071428571,1021.922619047619,78.31547619047619,286.2220238095238,290.1331547619048,11854.0,127.8,127.4,129.9,123.91
Week_39,287.62898809523807,287.21999999999997,1020.5238095238095,79.94642857142857,285.7236904761905,289.67541666666665,14672.0,129.72,129.24,133.1,126.25
Week_40,286.59196428571425,285.94910714285714,1019.5178571428571,76.41666666666667,284.4593452380953,288.7467261904762,6515.0,128.95999999999998,130.76,133.45,126.0
Week_41,288.25821428571425,287.478869047619,1017.922619047619,63.339285714285715,286.00565476190474,290.43113095238095,6620.0,133.72,134.7,136.4,131.42
Week_42,288.90898809523816,288.47166666666664,1018.6845238095239,73.95833333333333,286.234880952381,291.7657142857143,5448.0,131.04000000000002,131.07999999999998,134.5,127.3
