Metric,0,0 Cumulative,Metric,1,1 Cumulative,Metric,2,2 Cumulative,Metric,3,3 Cumulative,Metric,4,4 Cumulative,Metric,5,5 Cumulative,Metric,6,6 Cumulative,Metric,7,7 Cumulative,Metric,8,8 Cumulative,Metric,9,9 Cumulative,Metric,10,10 Cumulative,Metric,11,11 Cumulative,Metric,12,12 Cumulative,Metric,13,13 Cumulative,Metric,14,14 Cumulative,Metric,15,15 Cumulative,Metric,16,16 Cumulative,Metric,17,17 Cumulative,Metric,18,18 Cumulative,Metric,19,19 Cumulative,Metric,20,20 Cumulative,Metric,21,21 Cumulative,Metric,22,22 Cumulative,Metric,23,23 Cumulative,Metric,24,24 Cumulative,Metric,25,25 Cumulative,Metric,26,26 Cumulative,Metric,27,27 Cumulative,Metric,28,28 Cumulative,Metric,29,29 Cumulative,Metric,30,30 Cumulative,Metric,31,31 Cumulative,Metric,32,32 Cumulative,Metric,33,33 Cumulative,Metric,34,34 Cumulative,Metric,35,35 Cumulative,Metric,36,36 Cumulative,Metric,37,37 Cumulative,Metric,38,38 Cumulative,Metric,39,39 Cumulative,Metric,40,40 Cumulative,Metric,41,41 Cumulative,Metric,42,42 Cumulative,Metric,43,43 Cumulative,Metric,44,44 Cumulative,Metric,45,45 Cumulative,Metric,46,46 Cumulative,Metric,47,47 Cumulative,Metric,48,48 Cumulative,Metric,49,49 Cumulative,Metric,50,50 Cumulative,Metric,51,51 Cumulative
https://www.cdc.gov/flu/weekly/weeklyarchives2022-2023/week39.htm,,,https://www.cdc.gov/flu/weekly/weeklyarchives2022-2023/week38.htm,,,https://www.cdc.gov/flu/weekly/weeklyarchives2022-2023/week37.htm,,,https://www.cdc.gov/flu/weekly/weeklyarchives2022-2023/week36.htm,,,https://www.cdc.gov/flu/weekly/weeklyarchives2022-2023/week35.htm,,,https://www.cdc.gov/flu/weekly/weeklyarchives2022-2023/week34.htm,,,https://www.cdc.gov/flu/weekly/weeklyarchives2022-2023/week33.htm,,,https://www.cdc.gov/flu/weekly/weeklyarchives2022-2023/week32.htm,,,https://www.cdc.gov/flu/weekly/weeklyarchives2022-2023/week31.htm,,,https://www.cdc.gov/flu/weekly/weeklyarchives2022-2023/week30.htm,,,https://www.cdc.gov/flu/weekly/weeklyarchives2022-2023/week29.htm,,,https://www.cdc.gov/flu/weekly/weeklyarchives2022-2023/week28.htm,,,https://www.cdc.gov/flu/weekly/weeklyarchives2022-2023/week27.htm,,,https://www.cdc.gov/flu/weekly/weeklyarchives2022-2023/week26.htm,,,https://www.cdc.gov/flu/weekly/weeklyarchives2022-2023/week25.htm,,,https://www.cdc.gov/flu/weekly/weeklyarchives2022-2023/week24.htm,,,https://www.cdc.gov/flu/weekly/weeklyarchives2022-2023/week23.htm,,,https://www.cdc.gov/flu/weekly/weeklyarchives2022-2023/week22.htm,,,https://www.cdc.gov/flu/weekly/weeklyarchives2022-2023/week21.htm,,,https://www.cdc.gov/flu/weekly/weeklyarchives2022-2023/week20.htm,,,https://www.cdc.gov/flu/weekly/weeklyarchives2022-2023/week19.htm,,,https://www.cdc.gov/flu/weekly/weeklyarchives2022-2023/week18.htm,,,https://www.cdc.gov/flu/weekly/weeklyarchives2022-2023/week17.htm,,,https://www.cdc.gov/flu/weekly/weeklyarchives2022-2023/week16.htm,,,https://www.cdc.gov/flu/weekly/weeklyarchives2022-2023/week15.htm,,,https://www.cdc.gov/flu/weekly/weeklyarchives2022-2023/week14.htm,,,https://www.cdc.gov/flu/weekly/weeklyarchives2022-2023/week13.htm,,,https://www.cdc.gov/flu/weekly/weeklyarchives2022-2023/week12.htm,,,https://www.cdc.gov/flu/weekly/weeklyarchives2022-2023/week11.htm,,,https://www.cdc.gov/flu/weekly/weeklyarchives2022-2023/week10.htm,,,https://www.cdc.gov/flu/weekly/weeklyarchives2022-2023/week09.htm,,,https://www.cdc.gov/flu/weekly/weeklyarchives2022-2023/week08.htm,,,https://www.cdc.gov/flu/weekly/weeklyarchives2022-2023/week07.htm,,,https://www.cdc.gov/flu/weekly/weeklyarchives2022-2023/week06.htm,,,https://www.cdc.gov/flu/weekly/weeklyarchives2022-2023/week05.htm,,,https://www.cdc.gov/flu/weekly/weeklyarchives2022-2023/week04.htm,,,https://www.cdc.gov/flu/weekly/weeklyarchives2022-2023/week03.htm,,,https://www.cdc.gov/flu/weekly/weeklyarchives2022-2023/week02.htm,,,https://www.cdc.gov/flu/weekly/weeklyarchives2022-2023/week01.htm,,,https://www.cdc.gov/flu/weekly/weeklyarchives2022-2023/week52.htm,,,https://www.cdc.gov/flu/weekly/weeklyarchives2022-2023/week51.htm,,,https://www.cdc.gov/flu/weekly/weeklyarchives2022-2023/week50.htm,,,https://www.cdc.gov/flu/weekly/weeklyarchives2022-2023/week49.htm,,,https://www.cdc.gov/flu/weekly/weeklyarchives2022-2023/week48.htm,,,https://www.cdc.gov/flu/weekly/weeklyarchives2022-2023/week47.htm,,,https://www.cdc.gov/flu/weekly/weeklyarchives2022-2023/week46.htm,,,https://www.cdc.gov/flu/weekly/weeklyarchives2022-2023/week45.htm,,,https://www.cdc.gov/flu/weekly/weeklyarchives2022-2023/week44.htm,,,https://www.cdc.gov/flu/weekly/weeklyarchives2022-2023/week43.htm,,,https://www.cdc.gov/flu/weekly/weeklyarchives2022-2023/week42.htm,,,https://www.cdc.gov/flu/weekly/weeklyarchives2022-2023/week41.htm,,,https://www.cdc.gov/flu/weekly/weeklyarchives2022-2023/week40.htm,,
No. of specimens tested,46412,4205970,No. of specimens tested,42904,4144631,No. of specimens tested,39031,4081761,No. of specimens tested,36600,4023390,No. of specimens tested,30867,3965616,No. of specimens tested,33251,3929713,No. of specimens tested,29380,3880893,No. of specimens tested,26217,3841281,No. of specimens tested,25162,3812287,No. of specimens tested,21594,3770329,No. of specimens tested,22368,3745235,No. of specimens tested,18235,3694104,No. of specimens tested,20920,3668038,No. of specimens tested,18450,3637359,No. of specimens tested,19972,3611129,No. of specimens tested,24040,3572169,No. of specimens tested,25830,3530424,No. of specimens tested,32971,3499800,No. of specimens tested,27232,3436045,No. of specimens tested,31894,3395600,No. of specimens tested,29723,3349588,No. of specimens tested,41964,3311991,No. of specimens tested,35837,3250101,No. of specimens tested,35045,3192508,No. of specimens tested,44819,3143784,No. of specimens tested,52742,3082654,No. of specimens tested,51569,2929567,No. of specimens tested,66542,2864095,No. of specimens tested,64650,2780463,No. of specimens tested,66138,2695361,No. of specimens tested,64083,2609725,No. of specimens tested,70339,2524252,No. of specimens tested,80331,2441426,No. of specimens tested,84389,2394476,No. of specimens tested,65550,2212459,No. of specimens tested,69223,2119678,No. of specimens tested,86499,2033784,No. of specimens tested,75638,1882770,No. of specimens tested,96123,1791474,No. of specimens tested,93589,1660415,No. of specimens tested,95260,1524788,No. of specimens tested,135848,1400183,No. of specimens tested,123987,1219825,No. of specimens tested,143924,1058393,No. of specimens tested,130584,907795,No. of specimens tested,119615,740644,No. of specimens tested,103830,575479,No. of specimens tested,103311,457029,No. of specimens tested,83742,327191,No. of specimens tested,66955,216088,No. of specimens tested,61813,134628,No. of specimens tested,58481,53565
No. of positive specimens (%),444 (1.0%),"360,500 (8.6%)",No. of positive specimens (%),399 (0.9%),"359,916 (8.7%)",No. of positive specimens (%),315 (0.8%),"359,256 (8.8%)",No. of positive specimens (%),253 (0.7%),"358,781 (8.9%)",No. of positive specimens (%),233 (0.8%),"358,391 (9.0%)",No. of positive specimens (%),266 (0.8%),"358,134 (9.1%)",No. of positive specimens (%),257 (0.9%),"357,737 (9.2%)",No. of positive specimens (%),214 (0.8%),"357,346 (9.3%)",No. of positive specimens (%),263 (1.0%),"357,111 (9.4%)",No. of positive specimens (%),214 (1.0%),"356,632 (9.5%)",No. of positive specimens (%),225 (1.0%),"356,390 (9.5%)",No. of positive specimens (%),171 (0.9%),"355,775 (9.6%)",No. of positive specimens (%),175 (0.8%),"355,549 (9.7%)",No. of positive specimens (%),219 (1.2%),"355,252 (9.8%)",No. of positive specimens (%),202 (1.0%),"354,984 (9.8%)",No. of positive specimens (%),261 (1.1%),"354,504 (9.9%)",No. of positive specimens (%),255 (1.0%),"353,954 (10.0%)",No. of positive specimens (%),352 (1.1%),"353,643 (10.1%)",No. of positive specimens (%),331 (1.2%),"353,077 (10.3%)",No. of positive specimens (%),355 (1.1%),"352,572 (10.4%)",No. of positive specimens (%),290 (1.0%),"352,059 (10.5%)",No. of positive specimens (%),390 (0.9%),"351,710 (10.6%)",No. of positive specimens (%),371 (1.0%),"351,174 (10.8%)",No. of positive specimens (%),283 (0.8%),"350,513 (11.0%)",No. of positive specimens (%),453 (1.0%),"350,104 (11.1%)",No. of positive specimens (%),515 (1.0%),"349,474 (11.3%)",No. of positive specimens (%),482 (0.9%),"338,253 (11.5%)",No. of positive specimens (%),626 (0.9%),"337,643 (11.8%)",No. of positive specimens (%),535 (0.8%),"336,814 (12.1%)",No. of positive specimens (%),666 (1.0%),"336,008 (12.5%)",No. of positive specimens (%),565 (0.9%),"335,167 (12.8%)",No. of positive specimens (%),682 (1.0%),"334,295 (13.2%)",No. of positive specimens (%),833 (1.0%),"333,511 (13.7%)",No. of positive specimens (%),"1,155 (1.4%)","336,953 (14.1%)",No. of positive specimens (%),"1,107 (1.7%)","324,722 (14.7%)",No. of positive specimens (%),"1,483 (2.1%)","323,036 (15.2%)",No. of positive specimens (%),"2,588 (3.0%)","320,409 (15.8%)",No. of positive specimens (%),"3,498 (4.6%)","305,535 (16.2%)",No. of positive specimens (%),"8,281 (8.6%)","300,365 (16.8%)",No. of positive specimens (%),"14,027 (15.0%)","287,354 (17.3%)",No. of positive specimens (%),"18,816 (19.8%)","263,930 (17.3%)",No. of positive specimens (%),"33,202 (24.4%)","237,237 (16.9 %)",No. of positive specimens (%),"31,442 (25.4%)","192,458 (15.8%)",No. of positive specimens (%),"35,704 (24.8%)","150,865 (14.3%)",No. of positive specimens (%),"32,733 (25.1%)","113,482 (12.5%)",No. of positive specimens (%),"21,796 (18.2%)","75,545 (10.2%)",No. of positive specimens (%),"15,308 (14.7%)","49,726 (8.6%)",No. of positive specimens (%),"13,178 (12.8%)","32,046 (7.0%)",No. of positive specimens (%),"7,504 (9.0%)","17,271 (5.3%)",No. of positive specimens (%),"4,129 (6.2%)","9,142 (4.2%)",No. of positive specimens (%),"2,712 (4.4%)","4,782 (3.6%)",No. of positive specimens (%),"1,274 (2.2%)","1,766 (3.3%)"
Positive specimens by type,,,Positive specimens by type,,,Positive specimens by type,,,Positive specimens by type,,,Positive specimens by type,,,Positive specimens by type,,,Positive specimens by type,,,Positive specimens by type,,,Positive specimens by type,,,Positive specimens by type,,,Positive specimens by type,,,Positive specimens by type,,,Positive specimens by type,,,Positive specimens by type,,,Positive specimens by type,,,Positive specimens by type,,,Positive specimens by type,,,Positive specimens by type,,,Positive specimens by type,,,Positive specimens by type,,,Positive specimens by type,,,Positive specimens by type,,,Positive specimens by type,,,Positive specimens by type,,,Positive specimens by type,,,Positive specimens by type,,,Positive specimens by type,,,Positive specimens by type,,,Positive specimens by type,,,Positive specimens by type,,,Positive specimens by type,,,Positive specimens by type,,,Positive specimens by type,,,Positive specimens by type,,,Positive specimens by type,,,Positive specimens by type,,,Positive specimens by type,,,Positive specimens by type,,,Positive specimens by type,,,Positive specimens by type,,,Positive specimens by type,,,Positive specimens by type,,,Positive specimens by type,,,Positive specimens by type,,,Positive specimens by type,,,Positive specimens by type,,,Positive specimens by type,,,Positive specimens by type,,,Positive specimens by type,,,Positive specimens by type,,,Positive specimens by type,,,Positive specimens by type,,
Influenza A,284 (64.0%),"350,169 (97.1%)",Influenza A,237 (59.4%),"349,813 (97.2%)",Influenza A,211 (67.0%),"349,371 (97.2%)",Influenza A,167 (66.0%),"349,050 (97.3%)",Influenza A,155 (66.5%),"348,771 (97.3%)",Influenza A,170 (63.9%),"348,600 (97.3%)",Influenza A,153 (59.5%),"348,355 (97.4%)",Influenza A,112 (52.3%),"348,091 (97.4%)",Influenza A,147 (55.9%),"347,976 (97.4%)",Influenza A,116 (54.2%),"347,674 (97.5%)",Influenza A,142 (63.1%),"347,535 (97.5%)",Influenza A,102 (59.6%),"347,143 (97.6%)",Influenza A,102 (58.3%),"347,002 (97.6%)",Influenza A,147 (67.1%),"346,824 (97.6%)",Influenza A,118 (58.4%),"346,644 (97.7%)",Influenza A,151 (57.9%),"346,438 (97.7%)",Influenza A,139 (54.5%),"346,167 (97.8%)",Influenza A,174 (49.4%),"346,014 (97.8%)",Influenza A,144 (43.5%),"345,732 (97.9%)",Influenza A,108 (30.4%),"345,544 (98.0%)",Influenza A,106 (36.6%),"345,358 (98.1%)",Influenza A,159 (40.8%),"345,229 (98.2%)",Influenza A,156 (42.0%),"345,008 (98.2%)",Influenza A,124 (43.8%),"344,757 (98.4%)",Influenza A,203 (44.8%),"344,586 (98.4%)",Influenza A,269 (52.2%),"344,275 (98.5%)",Influenza A,240 (49.8%),"333,382 (98.6%)",Influenza A,386 (61.7%),"333,076 (98.6%)",Influenza A,361 (67.5%),"332,572 (98.7%)",Influenza A,441 (66.2%),"332,059 (98.8%)",Influenza A,396 (70.1%),"331,473 (98.9%)",Influenza A,538 (78.9%),"330,861 (99.0%)",Influenza A,618 (74.2%),"330,235 (99.0%)",Influenza A,951 (82.3%),"334,039 (99.1%)",Influenza A,998 (90.2%),"322,122 (99.2%)",Influenza A,"1,396 (94.1%)","320,603 (99.2%)",Influenza A,"2,484 (96.0%)","318,141 (99.3%)",Influenza A,"3,403 (97.3%)","303,449 (99.3%)",Influenza A,"8,169 (98.6%)","298,392 (99.3%)",Influenza A,"13,905 (99.1%)","285,535 (99.4%)",Influenza A,"18,720 (99.5%)","262,264 (99.4%)",Influenza A,"33,041 (99.5%)","235,705 (99.4%)",Influenza A,"31,287 (99.5%)","191,112 (99.3%)",Influenza A,"35,568 (99.6%)","149,704 (99.2%)",Influenza A,"32,594 (99.6%)","112,488 (99.1%)",Influenza A,"21,677 (99.5%)","74,728 (98.9%)",Influenza A,"15,185 (99.2%)","49,064 (98.7%)",Influenza A,"13,086 (99.3%)","31,558 (98.5%)",Influenza A,"7,422 (98.9%)","16,901 (97.9%)",Influenza A,"4,061 (98.4%)","8,887 (97.2%)",Influenza A,"2,639 (97.3%)","4,610 (96.4%)",Influenza A,"1,213 (95.2%)","1,686 (95.5%)"
Influenza B,160 (36.0%),"10,331 (2.9%)",Influenza B,162 (40.6%),"10,103 (2.8%)",Influenza B,104 (33.0%),"9,885 (2.8%)",Influenza B,86 (34.0%),"9,731 (2.7%)",Influenza B,78 (33.5%),"9,620 (2.7%)",Influenza B,96 (36.1%),"9,534 (2.7%)",Influenza B,104 (40.5%),"9,382 (2.6%)",Influenza B,102 (47.7%),"9,255 (2.6%)",Influenza B,116 (44.1%),"9,135 (2.6%)",Influenza B,98 (45.8%),"8,958 (2.5%)",Influenza B,83 (36.9%),"8,855 (2.5%)",Influenza B,69 (40.4%),"8,632 (2.4%)",Influenza B,73 (41.7%),"8,547 (2.4%)",Influenza B,72 (32.9%),"8,428 (2.4%)",Influenza B,84 (41.6%),"8,340 (2.3%)",Influenza B,110 (42.1%),"8,066 (2.3%)",Influenza B,116 (45.5%),"7,787 (2.2%)",Influenza B,178 (50.6%),"7,629 (2.2%)",Influenza B,187 (56.5%),"7,345 (2.1%)",Influenza B,247 (69.6%),"7,028 (2.0%)",Influenza B,184 (63.4%),"6,701 (1.9%)",Influenza B,231 (59.2%),"6,481 (1.8%)",Influenza B,215 (58.0%),"6,166 (1.8%)",Influenza B,159 (56.2%),"5,756 (1.6%)",Influenza B,250 (55.2%),"5,518 (1.6%)",Influenza B,246 (47.8%),"5,199 (1.5%)",Influenza B,242 (50.2%),"4,871 (1.4%)",Influenza B,240 (38.3%),"4,567 (1.4%)",Influenza B,174 (32.5%),"4,242 (1.3%)",Influenza B,225 (33.8%),"3,949 (1.2%)",Influenza B,169 (29.9%),"3,694 (1.1%)",Influenza B,144 (21.1%),"3,434 (1.0%)",Influenza B,215 (25.8%),"3,276 (1.0%)",Influenza B,204 (17.7%),"2,914 (0.9%)",Influenza B,109 (9.8%),"2,599 (0.8%)",Influenza B,87 (5.9%),"2,433 (0.8%)",Influenza B,104 (4.0%),"2,268 (0.7%)",Influenza B,95 (2.7%),"2,086 (0.7%)",Influenza B,112 (1.4%),"1,973 (0.7%)",Influenza B,122 (0.9%),"1,819 (0.6%)",Influenza B,96 (0.5%),"1,666 (0.6%)",Influenza B,161 (0.5%),"1,532 (0.6%)",Influenza B,155 (0.5%),"1,346 (0.7%)",Influenza B,136 (0.4%),"1,161 (0.8%)",Influenza B,139 (0.4%),994 (0.9%),Influenza B,119 (0.5%),817 (1.1%),Influenza B,123 (0.8%),662 (1.3%),Influenza B,92 (0.7%),488 (1.5%),Influenza B,82 (1.1%),370 (2.1%),Influenza B,68 (1.6%),255 (2.8%),Influenza B,73 (2.7%),172 (3.6%),Influenza B,61 (4.8%),80 (4.5%)
No. of specimens tested,2404,292869,No. of specimens tested,2717,289867,No. of specimens tested,2801,286709,No. of specimens tested,1981,283440,No. of specimens tested,1466,281013,No. of specimens tested,1479,279183,No. of specimens tested,1442,277334,No. of specimens tested,1533,274960,No. of specimens tested,1072,273164,No. of specimens tested,1261,271803,No. of specimens tested,1791,270277,No. of specimens tested,1782,268198,No. of specimens tested,1456,266239,No. of specimens tested,1985,264422,No. of specimens tested,338,260315,No. of specimens tested,2006,259871,No. of specimens tested,2441,257498,No. of specimens tested,2248,254852,No. of specimens tested,2628,251355,No. of specimens tested,2780,248451,No. of specimens tested,3203,245473,No. of specimens tested,3553,241869,No. of specimens tested,3661,238025,No. of specimens tested,3542,233873,No. of specimens tested,4416,229669,No. of specimens tested,4531,224844,No. of specimens tested,4415,219677,No. of specimens tested,5686,214894,No. of specimens tested,5749,208327,No. of specimens tested,6258,201965,No. of specimens tested,6414,195177,No. of specimens tested,5944,188098,No. of specimens tested,6020,179489,No. of specimens tested,6251,172814,No. of specimens tested,5463,164523,No. of specimens tested,5495,155842,No. of specimens tested,5727,147926,No. of specimens tested,6315,141009,No. of specimens tested,6724,132276,No. of specimens tested,5389,123258,No. of specimens tested,6652,115821,No. of specimens tested,9081,107874,No. of specimens tested,8996,96317,No. of specimens tested,9844,84961,No. of specimens tested,7447,73201,No. of specimens tested,9673,64933,No. of specimens tested,7575,53659,No. of specimens tested,8824,44656,No. of specimens tested,8187,33638,No. of specimens tested,8367,24935,No. of specimens tested,6854,14607,No. of specimens tested,7729,7261
